date,month,season,year,solar_radiation_sum,temperature_maximum,temperature_minimum,rainfall_sum,humidity_average
30/03/2007,3,Spring,2007,11964.8,16.38,9.82,0,43
31/03/2007,3,Spring,2007,20921.2,15.62,6.62,3.8,75.50347222
01/04/2007,4,Spring,2007,19609.2,11.77,3.74,0.2,83.17013889
02/04/2007,4,Spring,2007,24380.6,14.09,2.03,0,77.73263889
03/04/2007,4,Spring,2007,28349.7,15.62,0.29,0.6,73.65277778
04/04/2007,4,Spring,2007,11723.4,14.09,3.74,1.4,78.71180556
05/04/2007,4,Spring,2007,26085.9,11.38,-1.51,1.6,65.08333333
06/04/2007,4,Spring,2007,13425.6,12.93,4.99,17.8,87.21875
07/04/2007,4,Spring,2007,18778.1,12.55,4.15,6.6,83.43402778
08/04/2007,4,Spring,2007,25620.8,16.38,4.15,5.4,78.89583333
09/04/2007,4,Spring,2007,26014.5,16.76,4.57,2.4,78.26041667
10/04/2007,4,Spring,2007,21355.7,17.9,8.63,0.2,78.74305556
11/04/2007,4,Spring,2007,30011,17.9,6.62,0,76.56597222
12/04/2007,4,Spring,2007,21148.8,18.28,7.83,11.2,82.33333333
13/04/2007,4,Spring,2007,22912.1,18.28,8.63,1,84.23263889
14/04/2007,4,Spring,2007,31948.2,19.42,7.03,0,75.55902778
15/04/2007,4,Spring,2007,33935.8,21.71,5.81,0,72.18402778
16/04/2007,4,Spring,2007,34670.7,23.63,5.4,0.8,73.38194444
17/04/2007,4,Spring,2007,29637.2,22.86,6.22,0.6,75.10763889
18/04/2007,4,Spring,2007,38525.9,23.24,6.22,0,61.90972222
19/04/2007,4,Spring,2007,39451,23.24,7.43,0,49.86111111
20/04/2007,4,Spring,2007,33941.9,24.01,9.42,0,55.79861111
21/04/2007,4,Spring,2007,37599.9,22.86,7.83,0,51.77430556
22/04/2007,4,Spring,2007,38397.4,24.01,7.43,0,57.78472222
23/04/2007,4,Spring,2007,39879.9,25.95,8.63,0,56.37152778
24/04/2007,4,Spring,2007,40074.7,27.12,9.82,0,38.875
25/04/2007,4,Spring,2007,10342.2,19.42,12.16,11,73.21527778
26/04/2007,4,Spring,2007,18697.2,15.62,9.42,20.2,88.65625
27/04/2007,4,Spring,2007,26950.9,17.9,8.23,2.8,83.10069444
28/04/2007,4,Spring,2007,24540.8,19.81,5.4,1.8,85.08680556
